
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 1997, Numar persoane, 1483
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 1998, Numar persoane, 1436
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 1999, Numar persoane, 1335
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 2000, Numar persoane, 1273
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 2001, Numar persoane, 1305
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 2002, Numar persoane, 1437
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 2003, Numar persoane, 1331
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 2004, Numar persoane, 1314
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 2005, Numar persoane, 1300
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 2006, Numar persoane, 1342
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 2007, Numar persoane, 1321
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 2008, Numar persoane, 1474
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 2009, Numar persoane, 1527
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 2010, Numar persoane, 1563
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 2011, Numar persoane, 1344
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 2012, Numar persoane, 1273
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 2013, Numar persoane, 1325
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 2014, Numar persoane, 1337
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 2015, Numar persoane, 1330
Boli ale aparatului digestiv, Regiunea CENTRU, Anul 2016, Numar persoane, 1343
Boli ale aparatului digestiv, Alba, Anul 1990, Numar persoane, 163
Boli ale aparatului digestiv, Alba, Anul 1991, Numar persoane, 184
Boli ale aparatului digestiv, Alba, Anul 1992, Numar persoane, 183
Boli ale aparatului digestiv, Alba, Anul 1993, Numar persoane, 204
Boli ale aparatului digestiv, Alba, Anul 1994, Numar persoane, 207
Boli ale aparatului digestiv, Alba, Anul 1995, Numar persoane, 235
Boli ale aparatului digestiv, Alba, Anul 1996, Numar persoane, 243
Boli ale aparatului digestiv, Alba, Anul 1997, Numar persoane, 264
Boli ale aparatului digestiv, Alba, Anul 1998, Numar persoane, 204
Boli ale aparatului digestiv, Alba, Anul 1999, Numar persoane, 207
Boli ale aparatului digestiv, Alba, Anul 2000, Numar persoane, 226
Boli ale aparatului digestiv, Alba, Anul 2001, Numar persoane, 202
Boli ale aparatului digestiv, Alba, Anul 2002, Numar persoane, 194
Boli ale aparatului digestiv, Alba, Anul 2003, Numar persoane, 178
Boli ale aparatului digestiv, Alba, Anul 2004, Numar persoane, 181
Boli ale aparatului digestiv, Alba, Anul 2005, Numar persoane, 200
Boli ale aparatului digestiv, Alba, Anul 2006, Numar persoane, 174
Boli ale aparatului digestiv, Alba, Anul 2007, Numar persoane, 170
Boli ale aparatului digestiv, Alba, Anul 2008, Numar persoane, 188
Boli ale aparatului digestiv, Alba, Anul 2009, Numar persoane, 241
Boli ale aparatului digestiv, Alba, Anul 2010, Numar persoane, 246
Boli ale aparatului digestiv, Alba, Anul 2011, Numar persoane, 209
Boli ale aparatului digestiv, Alba, Anul 2012, Numar persoane, 211
Boli ale aparatului digestiv, Alba, Anul 2013, Numar persoane, 244
Boli ale aparatului digestiv, Alba, Anul 2014, Numar persoane, 213
Boli ale aparatului digestiv, Alba, Anul 2015, Numar persoane, 221
Boli ale aparatului digestiv, Alba, Anul 2016, Numar persoane, 218
Boli ale aparatului digestiv, Brasov, Anul 1990, Numar persoane, 232
Boli ale aparatului digestiv, Brasov, Anul 1991, Numar persoane, 241
Boli ale aparatului digestiv, Brasov, Anul 1992, Numar persoane, 267
Boli ale aparatului digestiv, Brasov, Anul 1993, Numar persoane, 335
Boli ale aparatului digestiv, Brasov, Anul 1994, Numar persoane, 328
Boli ale aparatului digestiv, Brasov, Anul 1995, Numar persoane, 317
Boli ale aparatului digestiv, Brasov, Anul 1996, Numar persoane, 309
Boli ale aparatului digestiv, Brasov, Anul 1997, Numar persoane, 329
Boli ale aparatului digestiv, Brasov, Anul 1998, Numar persoane, 343
Boli ale aparatului digestiv, Brasov, Anul 1999, Numar persoane, 326
Boli ale aparatului digestiv, Brasov, Anul 2000, Numar persoane, 306
Boli ale aparatului digestiv, Brasov, Anul 2001, Numar persoane, 348
Boli ale aparatului digestiv, Brasov, Anul 2002, Numar persoane, 368
Boli ale aparatului digestiv, Brasov, Anul 2003, Numar persoane, 357
Boli ale aparatului digestiv, Brasov, Anul 2004, Numar persoane, 375
Boli ale aparatului digestiv, Brasov, Anul 2005, Numar persoane, 355
Boli ale aparatului digestiv, Brasov, Anul 2006, Numar persoane, 372
Boli ale aparatului digestiv, Brasov, Anul 2007, Numar persoane, 354
Boli ale aparatului digestiv, Brasov, Anul 2008, Numar persoane, 385
Boli ale aparatului digestiv, Brasov, Anul 2009, Numar persoane, 382
Boli ale aparatului digestiv, Brasov, Anul 2010, Numar persoane, 426
Boli ale aparatului digestiv, Brasov, Anul 2011, Numar persoane, 388
Boli ale aparatului digestiv, Brasov, Anul 2012, Numar persoane, 329
Boli ale aparatului digestiv, Brasov, Anul 2013, Numar persoane, 368
Boli ale aparatului digestiv, Brasov, Anul 2014, Numar persoane, 348
Boli ale aparatului digestiv, Brasov, Anul 2015, Numar persoane, 348
Boli ale aparatului digestiv, Brasov, Anul 2016, Numar persoane, 379
Boli ale aparatului digestiv, Covasna, Anul 1990, Numar persoane, 78
Boli ale aparatului digestiv, Covasna, Anul 1991, Numar persoane, 85
Boli ale aparatului digestiv, Covasna, Anul 1992, Numar persoane, 94
Boli ale aparatului digestiv, Covasna, Anul 1993, Numar persoane, 115
Boli ale aparatului digestiv, Covasna, Anul 1994, Numar persoane, 109
Boli ale aparatului digestiv, Covasna, Anul 1995, Numar persoane, 122
Boli ale aparatului digestiv, Covasna, Anul 1996, Numar persoane, 121
Boli ale aparatului digestiv, Covasna, Anul 1997, Numar persoane, 133
Boli ale aparatului digestiv, Covasna, Anul 1998, Numar persoane, 124
Boli ale aparatului digestiv, Covasna, Anul 1999, Numar persoane, 131
Boli ale aparatului digestiv, Covasna, Anul 2000, Numar persoane, 115
Boli ale aparatului digestiv, Covasna, Anul 2001, Numar persoane, 117
Boli ale aparatului digestiv, Covasna, Anul 2002, Numar persoane, 118
Boli ale aparatului digestiv, Covasna, Anul 2003, Numar persoane, 139
Boli ale aparatului digestiv, Covasna, Anul 2004, Numar persoane, 107
Boli ale aparatului digestiv, Covasna, Anul 2005, Numar persoane, 111
Boli ale aparatului digestiv, Covasna, Anul 2006, Numar persoane, 125
Boli ale aparatului digestiv, Covasna, Anul 2007, Numar persoane, 94
Boli ale aparatului digestiv, Covasna, Anul 2008, Numar persoane, 151
Boli ale aparatului digestiv, Covasna, Anul 2009, Numar persoane, 131
Boli ale aparatului digestiv, Covasna, Anul 2010, Numar persoane, 107
Boli ale aparatului digestiv, Covasna, Anul 2011, Numar persoane, 92
Boli ale aparatului digestiv, Covasna, Anul 2012, Numar persoane, 124
Boli ale aparatului digestiv, Covasna, Anul 2013, Numar persoane, 93
Boli ale aparatului digestiv, Covasna, Anul 2014, Numar persoane, 117
Boli ale aparatului digestiv, Covasna, Anul 2015, Numar persoane, 113
Boli ale aparatului digestiv, Covasna, Anul 2016, Numar persoane, 114
Boli ale aparatului digestiv, Harghita, Anul 1990, Numar persoane, 91
Boli ale aparatului digestiv, Harghita, Anul 1991, Numar persoane, 88
Boli ale aparatului digestiv, Harghita, Anul 1992, Numar persoane, 84
Boli ale aparatului digestiv, Harghita, Anul 1993, Numar persoane, 136
Boli ale aparatului digestiv, Harghita, Anul 1994, Numar persoane, 116
Boli ale aparatului digestiv, Harghita, Anul 1995, Numar persoane, 132
Boli ale aparatului digestiv, Harghita, Anul 1996, Numar persoane, 129
Boli ale aparatului digestiv, Harghita, Anul 1997, Numar persoane, 139
Boli ale aparatului digestiv, Harghita, Anul 1998, Numar persoane, 144
Boli ale aparatului digestiv, Harghita, Anul 1999, Numar persoane, 141
Boli ale aparatului digestiv, Harghita, Anul 2000, Numar persoane, 136
Boli ale aparatului digestiv, Harghita, Anul 2001, Numar persoane, 141
Boli ale aparatului digestiv, Harghita, Anul 2002, Numar persoane, 162
Boli ale aparatului digestiv, Harghita, Anul 2003, Numar persoane, 143
Boli ale aparatului digestiv, Harghita, Anul 2004, Numar persoane, 124
Boli ale aparatului digestiv, Harghita, Anul 2005, Numar persoane, 133
Boli ale aparatului digestiv, Harghita, Anul 2006, Numar persoane, 141
Boli ale aparatului digestiv, Harghita, Anul 2007, Numar persoane, 138
Boli ale aparatului digestiv, Harghita, Anul 2008, Numar persoane, 153
Boli ale aparatului digestiv, Harghita, Anul 2009, Numar persoane, 169
Boli ale aparatului digestiv, Harghita, Anul 2010, Numar persoane, 168
Boli ale aparatului digestiv, Harghita, Anul 2011, Numar persoane, 145
Boli ale aparatului digestiv, Harghita, Anul 2012, Numar persoane, 122
Boli ale aparatului digestiv, Harghita, Anul 2013, Numar persoane, 121
Boli ale aparatului digestiv, Harghita, Anul 2014, Numar persoane, 153
Boli ale aparatului digestiv, Harghita, Anul 2015, Numar persoane, 158
Boli ale aparatului digestiv, Harghita, Anul 2016, Numar persoane, 153
Boli ale aparatului digestiv, Mures, Anul 1990, Numar persoane, 230
Boli ale aparatului digestiv, Mures, Anul 1991, Numar persoane, 221
Boli ale aparatului digestiv, Mures, Anul 1992, Numar persoane, 298
Boli ale aparatului digestiv, Mures, Anul 1993, Numar persoane, 308
Boli ale aparatului digestiv, Mures, Anul 1994, Numar persoane, 356
Boli ale aparatului digestiv, Mures, Anul 1995, Numar persoane, 321
Boli ale aparatului digestiv, Mures, Anul 1996, Numar persoane, 360
Boli ale aparatului digestiv, Mures, Anul 1997, Numar persoane, 383
Boli ale aparatului digestiv, Mures, Anul 1998, Numar persoane, 407
Boli ale aparatului digestiv, Mures, Anul 1999, Numar persoane, 327
Boli ale aparatului digestiv, Mures, Anul 2000, Numar persoane, 304
Boli ale aparatului digestiv, Mures, Anul 2001, Numar persoane, 293
Boli ale aparatului digestiv, Mures, Anul 2002, Numar persoane, 353
Boli ale aparatului digestiv, Mures, Anul 2003, Numar persoane, 311
Boli ale aparatului digestiv, Mures, Anul 2004, Numar persoane, 309
Boli ale aparatului digestiv, Mures, Anul 2005, Numar persoane, 290
Boli ale aparatului digestiv, Mures, Anul 2006, Numar persoane, 300
Boli ale aparatului digestiv, Mures, Anul 2007, Numar persoane, 356
Boli ale aparatului digestiv, Mures, Anul 2008, Numar persoane, 361
Boli ale aparatului digestiv, Mures, Anul 2009, Numar persoane, 389
Boli ale aparatului digestiv, Mures, Anul 2010, Numar persoane, 379
Boli ale aparatului digestiv, Mures, Anul 2011, Numar persoane, 307
Boli ale aparatului digestiv, Mures, Anul 2012, Numar persoane, 306
Boli ale aparatului digestiv, Mures, Anul 2013, Numar persoane, 293
Boli ale aparatului digestiv, Mures, Anul 2014, Numar persoane, 309
Boli ale aparatului digestiv, Mures, Anul 2015, Numar persoane, 300
Boli ale aparatului digestiv, Mures, Anul 2016, Numar persoane, 287
Boli ale aparatului digestiv, Sibiu, Anul 1990, Numar persoane, 225
Boli ale aparatului digestiv, Sibiu, Anul 1991, Numar persoane, 216
Boli ale aparatului digestiv, Sibiu, Anul 1992, Numar persoane, 203
Boli ale aparatului digestiv, Sibiu, Anul 1993, Numar persoane, 203
Boli ale aparatului digestiv, Sibiu, Anul 1994, Numar persoane, 200
Boli ale aparatului digestiv, Sibiu, Anul 1995, Numar persoane, 198
Boli ale aparatului digestiv, Sibiu, Anul 1996, Numar persoane, 187
Boli ale aparatului digestiv, Sibiu, Anul 1997, Numar persoane, 235
Boli ale aparatului digestiv, Sibiu, Anul 1998, Numar persoane, 214
Boli ale aparatului digestiv, Sibiu, Anul 1999, Numar persoane, 203
Boli ale aparatului digestiv, Sibiu, Anul 2000, Numar persoane, 186
Boli ale aparatului digestiv, Sibiu, Anul 2001, Numar persoane, 204
Boli ale aparatului digestiv, Sibiu, Anul 2002, Numar persoane, 242
Boli ale aparatului digestiv, Sibiu, Anul 2003, Numar persoane, 203
Boli ale aparatului digestiv, Sibiu, Anul 2004, Numar persoane, 218
Boli ale aparatului digestiv, Sibiu, Anul 2005, Numar persoane, 211
Boli ale aparatului digestiv, Sibiu, Anul 2006, Numar persoane, 230
Boli ale aparatului digestiv, Sibiu, Anul 2007, Numar persoane, 209
Boli ale aparatului digestiv, Sibiu, Anul 2008, Numar persoane, 236
Boli ale aparatului digestiv, Sibiu, Anul 2009, Numar persoane, 215
Boli ale aparatului digestiv, Sibiu, Anul 2010, Numar persoane, 237
Boli ale aparatului digestiv, Sibiu, Anul 2011, Numar persoane, 203
Boli ale aparatului digestiv, Sibiu, Anul 2012, Numar persoane, 181
Boli ale aparatului digestiv, Sibiu, Anul 2013, Numar persoane, 206
Boli ale aparatului digestiv, Sibiu, Anul 2014, Numar persoane, 197
Boli ale aparatului digestiv, Sibiu, Anul 2015, Numar persoane, 190
Boli ale aparatului digestiv, Sibiu, Anul 2016, Numar persoane, 192
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 1990, Numar persoane, 3593
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 1991, Numar persoane, 3859
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 1992, Numar persoane, 4129
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 1993, Numar persoane, 4401
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 1994, Numar persoane, 4902
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 1995, Numar persoane, 5144
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 1996, Numar persoane, 5433
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 1997, Numar persoane, 5732
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 1998, Numar persoane, 5276
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 1999, Numar persoane, 4974
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 2000, Numar persoane, 5105
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 2001, Numar persoane, 5693
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 2002, Numar persoane, 5710
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 2003, Numar persoane, 5586
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 2004, Numar persoane, 5260
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 2005, Numar persoane, 5091
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 2006, Numar persoane, 4814
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 2007, Numar persoane, 5158
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 2008, Numar persoane, 5462
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 2009, Numar persoane, 5770
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 2010, Numar persoane, 6041
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 2011, Numar persoane, 5119
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 2012, Numar persoane, 5220
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 2013, Numar persoane, 4828
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 2014, Numar persoane, 5176
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 2015, Numar persoane, 5234
Boli ale aparatului digestiv, MACROREGIUNEA DOI, Anul 2016, Numar persoane, 5194
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 1990, Numar persoane, 1876
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 1991, Numar persoane, 2052
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 1992, Numar persoane, 2111
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 1993, Numar persoane, 2271
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 1994, Numar persoane, 2498
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 1995, Numar persoane, 2683
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 1996, Numar persoane, 2846
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 1997, Numar persoane, 3002
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 1998, Numar persoane, 2794
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 1999, Numar persoane, 2642
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 2000, Numar persoane, 2688
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 2001, Numar persoane, 2949
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 2002, Numar persoane, 3037
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 2003, Numar persoane, 3072
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 2004, Numar persoane, 2829
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 2005, Numar persoane, 2886
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 2006, Numar persoane, 2628
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 2007, Numar persoane, 2872
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 2008, Numar persoane, 3053
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 2009, Numar persoane, 3249
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 2010, Numar persoane, 3512
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 2011, Numar persoane, 2807
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 2012, Numar persoane, 2925
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 2013, Numar persoane, 2763
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 2014, Numar persoane, 2938
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 2015, Numar persoane, 3020
Boli ale aparatului digestiv, Regiunea NORD-EST, Anul 2016, Numar persoane, 2908
Boli ale aparatului digestiv, Bacau, Anul 1990, Numar persoane, 455
Boli ale aparatului digestiv, Bacau, Anul 1991, Numar persoane, 483
Boli ale aparatului digestiv, Bacau, Anul 1992, Numar persoane, 482
Boli ale aparatului digestiv, Bacau, Anul 1993, Numar persoane, 549
Boli ale aparatului digestiv, Bacau, Anul 1994, Numar persoane, 583
Boli ale aparatului digestiv, Bacau, Anul 1995, Numar persoane, 645
Boli ale aparatului digestiv, Bacau, Anul 1996, Numar persoane, 623
Boli ale aparatului digestiv, Bacau, Anul 1997, Numar persoane, 661
Boli ale aparatului digestiv, Bacau, Anul 1998, Numar persoane, 669
Boli ale aparatului digestiv, Bacau, Anul 1999, Numar persoane, 671
Boli ale aparatului digestiv, Bacau, Anul 2000, Numar persoane, 683
Boli ale aparatului digestiv, Bacau, Anul 2001, Numar persoane, 729
Boli ale aparatului digestiv, Bacau, Anul 2002, Numar persoane, 829
Boli ale aparatului digestiv, Bacau, Anul 2003, Numar persoane, 775
Boli ale aparatului digestiv, Bacau, Anul 2004, Numar persoane, 767
Boli ale aparatului digestiv, Bacau, Anul 2005, Numar persoane, 753
Boli ale aparatului digestiv, Bacau, Anul 2006, Numar persoane, 687
Boli ale aparatului digestiv, Bacau, Anul 2007, Numar persoane, 729
Boli ale aparatului digestiv, Bacau, Anul 2008, Numar persoane, 800
Boli ale aparatului digestiv, Bacau, Anul 2009, Numar persoane, 856
